t [s],T [N]
0.0,0.0
0.01,62.61107
0.02,125.22214
0.03,187.83320999999998
0.04,250.44428
0.05,313.05535000000003
0.06,388.159
0.07,392.6205
0.08,397.082
0.09,401.5435
0.1,406.005
0.11,410.4665
0.12,414.928
0.13,419.3895
0.14,423.851
0.15,428.3125
0.16,432.774
0.17,437.2355
0.18,441.90172
0.19,437.48926000000006
0.2,433.07680000000005
0.21,428.66434000000004
0.22,424.25188
0.23,419.83942
0.24,415.42696
0.25,411.0145
0.26,406.60204
0.27,402.18958000000003
0.28,397.77712
0.29,393.64711
0.3,387.8877
0.31,382.12829
0.32,376.36887999999993
0.33,370.60946999999993
0.34,364.8500599999999
0.35000000000000003,359.0906499999999
0.36,353.33124
0.37,347.57183
0.38,341.81242
0.39,336.05301
0.4,330.29359999999997
0.41000000000000003,324.53418999999997
0.42,311.46286000000003
0.43,310.38569
0.44,309.30852
0.45,308.23135
0.46,307.15418
0.47000000000000003,306.07701000000003
0.48,304.99984
0.49,303.92267000000004
0.5,302.8455
0.51,301.76833
0.52,300.69116
0.53,299.61399
0.54,307.53784
0.55,306.4468
0.56,305.35576000000003
0.5700000000000001,304.26472
0.58,303.17368
0.59,302.08264
0.6,300.9916
0.61,299.90056000000004
0.62,298.80952
0.63,297.71848
0.64,296.62744
0.65,295.5364
0.66,294.5056
0.67,293.9012
0.68,293.2968
0.6900000000000001,292.6924
0.7000000000000001,292.088
0.71,291.4836
0.72,290.8792
0.73,290.2748
0.74,289.67040000000003
0.75,289.06600000000003
0.76,288.46160000000003
0.77,287.85720000000003
0.78,287.2769
0.79,286.74895
0.8,286.221
0.81,285.69304999999997
0.8200000000000001,285.1651
0.8300000000000001,284.63715
0.84,284.1092
0.85,283.58125
0.86,283.0533
0.87,282.52535
0.88,281.99739999999997
0.89,281.46945
0.9,280.9417
0.91,280.40153000000004
0.92,279.86136
0.93,279.32119
0.9400000000000001,278.78102
0.9500000000000001,278.24085
0.96,277.70068000000003
0.97,277.16051000000004
0.98,276.62034
0.99,276.08017
1.0,275.54
1.01,274.99983000000003
1.02,274.48356
1.03,274.25484
1.04,274.02612
1.05,273.7974
1.06,273.56868
1.07,273.33995999999996
1.08,273.11124
1.09,272.88252
1.1,272.6538
1.11,272.42508
1.12,272.19635999999997
1.1300000000000001,271.96763999999996
1.1400000000000001,271.6898
1.1500000000000001,271.2765
1.16,270.8632
1.17,270.44989999999996
1.18,270.03659999999996
1.19,269.6233
1.2,269.21
1.21,268.7967
1.22,268.3834
1.23,267.9701
1.24,267.5568
1.25,267.1435
1.26,266.79082
1.27,266.00539
1.28,265.21996
1.29,264.43453
1.3,263.6491
1.31,262.86366999999996
1.32,262.07824
1.33,261.29281
1.34,260.50738
1.35,259.72195
1.36,258.93652
1.37,258.15108999999995
1.3800000000000001,257.35769999999997
1.3900000000000001,256.31435
1.4000000000000001,255.27099999999996
1.41,254.22764999999998
1.42,253.18429999999998
1.43,252.14095
1.44,251.0976
1.45,250.05425
1.46,249.0109
1.47,247.96755
1.48,246.92419999999998
1.49,245.88084999999998
1.5,244.831
1.51,243.7603
1.52,242.68959999999998
1.53,241.6189
1.54,240.54819999999998
1.55,239.4775
1.56,238.40679999999998
1.57,237.3361
1.58,236.26539999999997
1.59,235.19469999999998
1.6,234.12399999999997
1.61,233.05329999999998
1.62,232.79091999999991
1.6300000000000001,227.8135799999999
1.6400000000000001,222.83623999999986
1.6500000000000001,217.85889999999984
1.6600000000000001,212.8815599999998
1.67,207.90422
1.68,202.92687999999998
1.69,197.94953999999996
1.7,192.97219999999993
1.71,187.9948599999999
1.72,183.01752
1.73,178.04017999999996
1.74,173.0603000000001
1.75,168.2727500000001
1.76,163.48520000000008
1.77,158.69765000000007
1.78,153.91010000000006
1.79,149.12255000000005
1.8,144.33500000000004
1.81,139.54745000000003
1.82,134.75990000000002
1.83,129.97235
1.84,125.1848
1.85,120.39724999999999
1.86,116.17289999999991
1.87,114.57054999999991
1.8800000000000001,112.96819999999991
1.8900000000000001,111.36584999999991
1.9000000000000001,109.76349999999991
1.9100000000000001,108.1611499999999
1.92,106.55879999999996
1.93,104.95644999999996
1.94,103.35409999999996
1.95,101.75174999999996
1.96,100.14939999999996
1.97,98.54704999999996
1.98,96.78702000000001
1.99,95.80401
2.0,94.821
2.0100000000000002,93.83798999999996
2.02,92.85497999999998
2.0300000000000002,91.87196999999998
2.04,90.88896
2.05,89.90595000000002
2.06,88.92293999999998
2.07,87.93993
2.08,86.95692
2.09,85.97391000000002
2.1,85.01259999999996
2.11,83.68116000000003
2.12,82.34971999999999
2.13,81.01828
2.14,79.68683999999996
2.15,78.35540000000003
2.16,77.02395999999999
2.17,75.69252
2.18,74.36107999999996
2.19,73.02964000000003
2.2,71.69819999999999
2.21,70.36676
2.22,69.076
2.23,68.05800000000002
2.24,67.03999999999999
2.25,66.02200000000002
2.2600000000000002,65.00399999999999
2.27,63.98600000000002
2.2800000000000002,62.96799999999999
2.29,61.95000000000002
2.3000000000000003,60.93199999999999
2.31,59.914000000000016
2.32,58.896000000000015
2.33,57.878000000000014
2.34,56.85068000000001
2.35,55.86669999999998
2.36,54.882720000000006
2.37,53.898739999999975
2.38,52.91476
2.39,51.93077999999997
2.4,50.946799999999996
2.41,49.962819999999965
2.42,48.97883999999999
2.43,47.99485999999996
2.44,47.010879999999986
2.45,46.026899999999955
2.46,45.03382000000002
2.47,44.135490000000004
2.48,43.23716000000002
2.49,42.33883
2.5,41.44050000000004
2.5100000000000002,40.54217
2.52,39.64384000000004
2.5300000000000002,38.745509999999996
2.54,37.84718000000004
2.5500000000000003,36.94884999999999
2.56,36.050520000000034
2.57,35.15219000000005
2.58,34.27298000000002
2.59,33.600790000000046
2.6,32.92860000000002
2.61,32.256410000000045
2.62,31.584220000000016
2.63,30.912030000000044
2.64,30.239840000000015
2.65,29.567650000000043
2.66,28.895460000000014
2.67,28.223270000000042
2.68,27.551080000000013
2.69,26.87889000000004
2.7,26.166300000000007
2.71,25.60569000000001
2.72,25.045079999999984
2.73,24.484470000000016
2.74,23.92385999999999
2.75,23.363249999999994
2.7600000000000002,22.802639999999997
2.77,22.24203
2.7800000000000002,21.681420000000003
2.79,21.120810000000006
2.8000000000000003,20.56019999999998
2.81,19.999590000000012
2.82,19.42628000000002
2.83,18.95132000000001
2.84,18.47636
2.85,18.00139999999999
2.86,17.526440000000008
2.87,17.051479999999998
2.88,16.576520000000016
2.89,16.101560000000006
2.9,15.626599999999996
2.91,15.151639999999986
2.92,14.676680000000005
2.93,14.201719999999995
2.94,13.700240000000008
2.95,12.536200000000008
2.96,11.372160000000008
2.97,10.208120000000008
2.98,9.044080000000008
2.99,7.880040000000008
3.0,6.716000000000008
3.0100000000000002,5.551960000000008
3.02,4.387920000000008
3.0300000000000002,3.2238799999999515
3.04,2.0598400000000083
3.0500000000000003,0.8957999999999515
